Mw,Rhyp,Vs30,FM,SA(T=0),SA(T=0.01),SA(T=0.015),SA(T=0.02),SA(T=0.03),SA(T=0.04),SA(T=0.05),SA(T=0.06),SA(T=0.075),Sa(T0.09),Sa(T0.1),Sa(T0.15),Sa(T=0.2),Sa(T=0.3),Sa(T=0.4),Sa(T=0.5),Sa(T=0.6),Sa(T=0.7),Sa(T=0.75),Sa(T=0.8),Sa(T=0.9),Sa(T=1),Sa(T=1.2),Sa(T=1.5),Sa(T=2),Sa(T=2.5),Sa(T=3),Sa(T=4)
7.96,488.3147953,635,1,0.0025955,0.002600405,0.0026087595,0.002617114,0.002650068,0.002714194,0.003024661,0.002925807,0.003535418,0.003717975,0.00355565,0.005425325,0.004218539,0.005657486,0.00765189,0.006653384,0.005580423,0.005308196,0.005298314,0.006012879,0.004732806,0.005812385,0.005247218,0.004926003,0.004117304,0.003191257,0.003093162,0.001289558
7.96,850.2486244,635,1,0.0027541,0.002779543,0.002820639,0.002861735,0.003019579,0.003296634,0.004304502,0.004909387,0.007678867,0.01023208,0.01250906,0.005236556,0.006137973,0.003819529,0.003232882,0.003194666,0.003461979,0.002716541,0.001926256,0.001778638,0.001298169,0.001379091,0.0008128048,0.0006350151,0.0005632695,0.0006040293,0.0006003106,0.0004274398
7.78,905.0876598,635,3,0.00013546,0.0001354727,0.0001354876,0.0001355025,0.000135552,0.0001356212,0.0001356928,0.0001358532,0.0001360969,0.0001365342,0.0001369003,0.0001385928,0.0001406975,0.0001468676,0.0001767995,0.0002009341,0.000248445,0.0003226688,0.0003078872,0.0003111594,0.0002981515,0.0003624797,0.0004318075,0.0003144061,0.0002275523,0.0003130416,0.0002829192,0.0002282973
7.28,234.4229278,635,1,0.029509,0.02952981,0.02956671,0.02960361,0.0298024,0.03014616,0.03169886,0.03576917,0.03545852,0.04005283,0.04659999,0.05422581,0.06580178,0.07043985,0.1089271,0.1138666,0.06543257,0.06959667,0.06308397,0.05440315,0.04603305,0.03333315,0.01741504,0.01258202,0.005987557,0.003370916,0.002086036,0.001501976
7.21,747.8863491,635,3,0.00088328,0.0008835023,0.0008838455,0.0008841887,0.0008853492,0.0008870045,0.0008893764,0.0008955306,0.0008963951,0.0009055051,0.0009153601,0.0009394944,0.001016211,0.001216055,0.001768291,0.002307607,0.002798272,0.002902217,0.002693262,0.003163014,0.003278573,0.00259819,0.001770772,0.001003882,0.0009077745,0.0004235198,0.0003166706,0.0003944027
7,104.0394569,635,3,0.013477,0.01351572,0.01356482,0.01361392,0.01383637,0.01428183,0.01555142,0.01587773,0.02040182,0.02266277,0.02627649,0.03063914,0.02925683,0.04039693,0.04086231,0.03160136,0.02896702,0.01757228,0.01270882,0.01248049,0.0151672,0.01317064,0.009613527,0.005878854,0.004278432,0.002329015,0.001697521,0.0009665163
7,865.5319219,455,3,0.00044778,0.0004479019,0.00044808785,0.0004482738,0.0004488973,0.0004497775,0.000450912,0.0004522851,0.0004552201,0.0004600475,0.0004614641,0.0005833503,0.0008393397,0.0008944576,0.001087749,0.001117635,0.002051838,0.002052756,0.002242895,0.002177878,0.001154145,0.000897616,0.0006864407,0.0003815084,0.00025428,0.0001496501,0.0001137428,6.587587E-05
7,461.9101835,635,3,0.0016446,0.001644755,0.0016449585,0.001645162,0.001645602,0.00164604,0.001660846,0.001651861,0.001666952,0.001684879,0.001709679,0.001720268,0.002055249,0.00228235,0.002873404,0.004219654,0.007757671,0.00495798,0.005013048,0.005214201,0.005233896,0.003540971,0.00235879,0.001753301,0.001252952,0.000731336,0.0004923419,0.0002345471
6.89,175.645775,635,3,0.011508,0.01153357,0.011574745,0.01161592,0.01177758,0.01211533,0.01305488,0.01251149,0.01373751,0.01441181,0.0145611,0.01721397,0.01717673,0.02507055,0.02476871,0.02257763,0.01809454,0.01423734,0.0129666,0.01220009,0.01239653,0.0111365,0.009045572,0.007374774,0.007479272,0.003411813,0.002842223,0.001464172
6.89,221.2906796,635,3,0.010225,0.01024398,0.01027355,0.01030312,0.01041199,0.01060302,0.01097689,0.01178721,0.01242253,0.01489534,0.01703616,0.01744015,0.01807349,0.02011304,0.02912586,0.03195638,0.0478985,0.0306469,0.03253487,0.03249941,0.02202365,0.02201611,0.01243009,0.005934844,0.004880998,0.001796335,0.001345419,0.0008111567
